id,komentar
59,"Ga cacat, malah sempurna!"
60,"Mantap jiwa, mantap bikin nyesel!"
61,"Deskripsi bilang premium, kenyataannya murahan!"
62,Kok ga sama kayak foto
63,Pelayanan terbaik! Barang juga berkualitas tinggi.
64,"Tidak rugi, sangat memuaskan!"
65,"Standar aja, tidak mengecewakan tapi juga tidak wow."
66,Keren sih tokonya
67,"Gimana nih ya, ga sama"
68,"Kok bisa gini sih, kecewa parah"
69,"Kenapa gini deh, ga sama"
70,Impressive! Impressively bad service!
71,"Kenapa jadi gini nih, beda banget"
72,"Gimana nih ya, ga sesuai deskripsi"
73,Recommended deh pelayanannya
74,Memuaskan banget sih pembeliannya
75,Oke banget sih kualitasnya
76,"Tidak murahan kok, recommended!"
77,Bagus gitu seller
78,Puas banget gw pembeliannya
79,"Top ratingnya, jelek barangnya!"
80,"Gorgeous foto, garbage aslinya!"
81,Netral banget pendapat gw.
82,"Cacat? Engga, mulus banget!"
83,Recommended pokoknya pelayanannya
84,Bagus banget sih kualitasnya
85,"Gimana ini nih, ga sesuai foto"
86,"Gimana nih deh, ga sesuai pesanan"
87,Ga sesuai foto produk
88,Barang sampai dengan cepat dan kondisi sempurna. Recommended!
89,"Kualitas juara, harga terjangkau. Best seller deh!"
90,"Kenapa jadi gini deh, ga sesuai deskripsi"
91,Suka banget sih kualitasnya
92,Keren banget nih pelayanannya
93,"Amazing banget, amazingly jelek!"
94,"Gimana ya dong, ga sesuai ukuran"
95,Worth it banget nih tokonya
96,"Reviewnya positif semua, kok gw dapat yang jelek?"
97,Top lah pelayanannya
98,"Kenapa gini ya, ga sama"
99,Half good half bad lah.
100,Worth it sih seller
101,Recommended banget produknya
102,"Impressive foto, depressing aslinya!"
103,"Kenapa gini, zonk banget"
104,Puas emang pembeliannya
105,Recommended sekali untuk ga beli!
106,Mantap deh
107,Excellent! Excellently bad!
108,Keren lah
109,"Janji customer service baik, kenyataan diabaikan!"
110,Bagus gitu pelayanannya
111,Mantap banget gw barangnya
112,"Tidak nyesel, sangat puas!"
113,"Standar aja sih, tidak ada yang istimewa dari produk ini."
114,Luar biasa kenyataannya buruk!
115,"Bukan rusak, tapi bagus!"
116,Mantap banget nih produknya
117,Tidak wow tapi juga tidak zonk.
118,"Ga jelek, malah bagus banget!"
119,"Gimana nih nih, kecewa parah"
120,Oke memang produknya
121,"Kenapa gini sih, ga sesuai deskripsi"
122,"Kenapa bisa gini ya, kecewa parah"
123,"Kok gini sih, zonk banget"
124,Worth it deh
125,"Kok jadi gini sih, buruk parah"
126,"Bagus di foto, cacat aslinya!"
127,"Kenapa jadi gini nih, cacat"
128,Recommended nih pembeliannya
129,Puas gitu nih
130,Gimana nih jelek banget
131,Bagus sih pelayanannya
132,Senang sekali dikasih sampah!
133,Oke banget nih kualitasnya
134,"Gimana ya, ga sesuai gambar"
135,"Keren, keren cacat produknya!"
136,"Tidak rugi beli ini, malah untung banget!"
137,Mantap memang produknya
138,"Ga mengecewakan kok, justru bagus!"
139,"Kenapa bisa gini ya, buruk parah"
140,Mantap nih tokonya
141,"Ga murahan, malah premium!"
142,Best seller! Best in selling trash!
143,"Kok gini sih, ga sama"
144,"Palsu kata orang, ternyata ori!"
145,"Gimana ya ya, ga sesuai foto"
146,"Gimana ya nih, zonk banget"
147,Buruk! Jahitan lepas-lepas dan bahan jelek.
148,"Sip banget, sip zonknya!"
149,"Kok bisa, ga sesuai deskripsi banget"
150,"Barang berkualitas, harga murah. Best deal ever!"
151,Mantap sih ini
152,"Kenapa gini dong, cacat"
153,Top banget gw seller
154,"Oke banget, ya untuk harga segini."
155,"Top, tapi ya sesuai harga."
156,Lumayan bagus tapi ada minor issue. Still acceptable.
157,Buruk! Sudah rusak begitu dibuka packagingnya.
158,Puas banget nih
159,Suka banget sih barangnya
160,Recommended pokoknya pembeliannya
161,Mantap nih seller
162,"Oke lah ya, ga ngarep juga sih."
163,Netral aja
164,Oke nih kualitasnya
165,"Kok gini nih, ga sesuai warna"
166,"Kok bisa gini nih, zonk banget"
167,Puas pokoknya seller
168,"Gimana ini dong, ga sesuai ukuran"
169,Top banget deh kualitasnya
170,Gimana ni rusak semua produknya
171,"Oke banget, oke mengecewakan!"
172,Standar banget produknya.
173,Kok berbeda jauh dari deskripsi
174,Mantap lah
175,Memuaskan banget deh barangnya
176,Suka lah barangnya
177,"Sesuai prediksi, biasa."
178,"Bagus sekali, bagus bikin kecewa!"
179,"Kok bisa gini dong, ga sesuai pesanan"
180,"Kok bisa gini sih, ga sama"
181,Keren sih pelayanannya
182,"Lovely deskripsi, lousy produk!"
183,Suka deh produknya
184,Oke banget nih pembeliannya
185,Mengecewakan! Barang tidak sesuai spesifikasi yang dijanjikan.
186,Memuaskan sih seller
187,Suka deh pembeliannya
188,"Gimana ini ya, ga sesuai gambar"
189,"Ga percaya review positif, tapi ternyata beneran bagus!"
190,"Bukan rugi kok, malah profit!"
191,Bagus pokoknya pelayanannya
192,"Suka, suka banget barang cacat!"
193,"Kok gini dong, jelek banget"
194,Worth it memang
195,"Gimana nih deh, buruk parah"
196,"Ga nyesel kok, justru puas!"
197,"Kenapa bisa gini deh, ga cocok"
198,Suka nih pelayanannya
199,Suka banget deh pembeliannya
200,"Gimana ini sih, cacat"
201,"Recommended, recommended buat dihindari!"
202,Top memang produknya
203,Keren sih ini
204,Worth it nih produknya
205,Keren banget gw tokonya
206,Worth it lah pembeliannya
207,Top lah
208,"Kualitas sangat buruk, tidak sesuai harga yang dibayar."
209,Recommended lah pembeliannya
210,"Kok bisa gini sih, ga sesuai deskripsi"
211,"Gimana nih deh, jelek banget"
212,Puas nih sama produknya
213,"Kok bisa gini deh, rusak semua"
214,"Lumayan aja, buat pemakaian biasa cukup."
215,"Gimana ya dong, kecewa parah"
216,"Bukan palsu kok, malah authentic!"
217,Mantap pokoknya seller
218,"Kenapa jadi gini ya, jelek banget"
219,Oke gitu seller
220,"Plus minus sih, fifty fifty."
221,Top memang kualitasnya
222,"Ga nyesel, malah senang banget beli!"
223,"Gimana ini deh, jelek banget"
224,Oke deh pembeliannya
225,"Keren deskripsinya, jelek barangnya!"
226,Top emang tokonya
227,"Gimana ya sih, ga sesuai pesanan"
228,Senang lah produknya
229,Bagus sih
230,Suka emang
231,"Kenapa jadi gini deh, rusak semua"
232,"Kok bisa gini nih, jelek banget"
233,Senang memang barangnya
234,Suka banget nih seller
235,Sangat kecewa! Barang tidak berfungsi sama sekali.
236,"Gimana ini dong, ga sesuai warna"
237,"Kenapa gini deh, beda banget"
238,Memuaskan nih tokonya
239,Bagus pokoknya produknya
240,Suka sih
241,"Kenapa gini nih, ga sesuai deskripsi"
242,Memuaskan lah produknya
243,Memuaskan banget pelayanannya
244,"Kok jadi gini nih, ga sesuai gambar"
245,Oke banget sih tokonya
246,Bagus banget ini pelayanannya
247,"Kenapa bisa gini sih, zonk banget"
248,Bagus banget sih
249,"Netral aja sih, ga suka ga benci juga."
250,"Kok jadi gini sih, ga sesuai ukuran"
251,Memuaskan banget pokoknya
252,"Gimana nih sih, ga cocok"
253,Mantap lah seller
254,"Gimana nih sih, ga sama"
255,"Gila nih barang, gila bagusnya maksudnya!"
256,Tidak akan kecewa? Bohong. Justru sangat puas!
257,Memuaskan sih barangnya
258,"Gimana ini deh, cacat"
259,"Gimana ini deh, ga sesuai pesanan"
260,Top banget ini tokonya
261,"Kenapa bisa gini nih, ga sesuai warna"
262,Marvelous! Marvelously terrible!
263,"Lumayan untuk daily use, tapi bukan yang terbaik."
264,Mantap sih barangnya
265,"Gimana nih dong, ga sama"
266,Suka nih
267,Recommended banget nih tokonya
268,"Ga nyesel, malah senang banget!"
269,"Wow foto menarik, aslinya rusak!"
270,Worth it deh produknya
271,Keren banget gw
272,"Barang original, packaging aman dan rapi. Mantap!"
273,Bagus nih pelayanannya
274,Biasa aja sih
275,"Wow, ga sesuai ekspektasi sama sekali. Kecewa!"
276,"Kok bisa gini dong, ga sama"
277,Terrible? Terribly good! Puas banget!
278,Mantap pokoknya pelayanannya
279,Mantap banget ini pelayanannya
280,"Kenapa jadi gini, kecewa parah"
281,"Kok bisa gini dong, kecewa parah"
282,Gimana ya zonk total
283,"Kenapa bisa gini, ga sesuai foto"
284,Keren lah kualitasnya
285,Puas deh pelayanannya
286,Kok gini? Ga sesuai pesanan!
287,"Gimana nih sih, ga sesuai warna"
288,Kualitas premium! Harga juga masih affordable.
289,"Amazing, amazingly bad!"
290,Oke emang pelayanannya
291,"Ya gitu, ada yang oke ada yang kurang."
292,"Kenapa bisa gini ya, ga sesuai ekspektasi"
293,"Biasa aja sih, produk standar."
294,Recommended pokoknya tokonya
295,"Kok bisa gini ya, ga pas"
296,Suka banget gw pembeliannya
297,"Kok jadi gini dong, jelek banget"
298,"Kenapa gini sih, ga pas"
299,Senang memang
300,"Kok jadi gini, ga sesuai deskripsi"
